Reading training examples... (1000 examples) done
Training set properties: 51 features, 20 classes
Iter 79: *(NumConst=78, SV=44, CEps=84.2602, QPEps=42.0285)
Iter 80: *(NumConst=79, SV=43, CEps=113.0930, QPEps=31.8270)
Iter 81: *(NumConst=80, SV=44, CEps=148.0552, QPEps=41.6516)
Iter 82: *(NumConst=81, SV=43, CEps=103.7730, QPEps=35.0457)
Iter 83: *(NumConst=82, SV=43, CEps=104.2165, QPEps=41.4057)
Iter 84: *(NumConst=80, SV=39, CEps=105.2065, QPEps=40.1815)
Iter 85: *(NumConst=81, SV=39, CEps=87.1298, QPEps=37.1991)
Iter 86: *(NumConst=82, SV=38, CEps=124.7652, QPEps=39.1362)
Iter 87: *(NumConst=83, SV=39, CEps=115.3944, QPEps=41.7849)
Iter 88: *(NumConst=84, SV=38, CEps=111.3310, QPEps=40.2630)
Iter 89: *(NumConst=85, SV=39, CEps=68.6754, QPEps=25.5844)
Iter 90: *(NumConst=86, SV=37, CEps=95.7140, QPEps=32.6004)
Iter 91: *(NumConst=87, SV=36, CEps=115.9450, QPEps=33.7984)
Iter 92: *(NumConst=88, SV=37, CEps=87.9167, QPEps=28.7366)
Iter 93: *(NumConst=89, SV=36, CEps=98.9313, QPEps=32.3605)
Iter 94: *(NumConst=90, SV=39, CEps=77.1444, QPEps=30.6700)
Iter 95: *(NumConst=91, SV=39, CEps=104.8875, QPEps=29.1273)
Iter 96: *(NumConst=92, SV=37, CEps=101.5088, QPEps=29.7911)
Iter 97: *(NumConst=93, SV=39, CEps=70.3225, QPEps=29.4664)
Iter 98: *(NumConst=94, SV=38, CEps=71.9028, QPEps=34.1735)
Iter 99: *(NumConst=95, SV=38, CEps=58.4027, QPEps=22.3679)
Iter 100: *(NumConst=96, SV=39, CEps=36.8406, QPEps=16.3412)
Iter 101: *(NumConst=97, SV=39, CEps=33.2426, QPEps=14.1480)
Iter 102: *(NumConst=97, SV=41, CEps=33.1926, QPEps=14.4766)
Iter 103: *(NumConst=97, SV=41, CEps=32.3405, QPEps=14.9011)
Iter 104: *(NumConst=98, SV=42, CEps=21.4225, QPEps=9.6305)
Iter 105: *(NumConst=98, SV=41, CEps=31.7772, QPEps=9.5370)
Iter 106: *(NumConst=99, SV=44, CEps=21.4023, QPEps=10.5110)
Iter 107: .........*(NumConst=100, SV=47, CEps=137.8372, QPEps=41.0452)
Iter 108: *(NumConst=101, SV=47, CEps=115.5064, QPEps=49.4429)
Iter 109: *(NumConst=102, SV=48, CEps=76.2141, QPEps=33.9566)
Iter 110: *(NumConst=103, SV=47, CEps=71.5963, QPEps=31.0227)
Iter 111: *(NumConst=104, SV=47, CEps=66.4844, QPEps=30.7044)
Iter 112: *(NumConst=105, SV=48, CEps=51.1527, QPEps=23.3784)
Iter 113: *(NumConst=102, SV=47, CEps=54.4686, QPEps=25.3668)
Iter 114: *(NumConst=103, SV=49, CEps=55.9043, QPEps=25.2688)
Iter 115: *(NumConst=103, SV=51, CEps=52.0784, QPEps=24.5761)
Iter 116: *(NumConst=104, SV=50, CEps=43.0517, QPEps=19.4952)
Iter 117: *(NumConst=104, SV=48, CEps=56.5734, QPEps=19.2544)
Iter 118: *(NumConst=100, SV=50, CEps=45.5697, QPEps=19.0696)
Iter 119: *(NumConst=98, SV=49, CEps=51.3364, QPEps=20.1909)
Iter 120: *(NumConst=97, SV=49, CEps=43.8934, QPEps=21.0758)
Iter 121: *(NumConst=98, SV=49, CEps=45.0411, QPEps=20.8220)
Iter 122: *(NumConst=99, SV=52, CEps=52.9291, QPEps=21.1944)
Iter 123: *(NumConst=100, SV=54, CEps=64.6474, QPEps=20.5732)
Iter 124: *(NumConst=101, SV=52, CEps=57.2820, QPEps=20.5985)
Iter 125: *(NumConst=100, SV=52, CEps=49.7618, QPEps=21.2121)
Iter 126: *(NumConst=100, SV=50, CEps=43.9254, QPEps=21.0845)
Iter 127: *(NumConst=100, SV=50, CEps=42.8591, QPEps=19.4472)
Iter 128: *(NumConst=99, SV=47, CEps=37.8011, QPEps=18.4633)
Iter 129: *(NumConst=99, SV=50, CEps=41.4468, QPEps=18.5503)
Iter 130: *(NumConst=97, SV=51, CEps=44.4525, QPEps=17.1075)
Iter 131: *(NumConst=97, SV=49, CEps=40.7833, QPEps=17.6424)
Iter 132: *(NumConst=96, SV=48, CEps=41.7262, QPEps=17.1423)
Iter 133: *(NumConst=92, SV=48, CEps=39.4310, QPEps=15.9036)
Iter 134: *(NumConst=91, SV=48, CEps=40.0479, QPEps=17.4981)
Iter 135: *(NumConst=89, SV=49, CEps=50.7016, QPEps=18.6521)
Iter 136: *(NumConst=90, SV=46, CEps=50.4042, QPEps=18.5799)
Iter 137: *(NumConst=90, SV=48, CEps=34.2795, QPEps=17.0831)
Iter 138: *(NumConst=90, SV=47, CEps=32.3001, QPEps=15.7318)
Iter 139: *(NumConst=88, SV=48, CEps=37.2024, QPEps=15.5004)
Iter 140: *(NumConst=87, SV=51, CEps=50.3848, QPEps=13.6364)
Iter 141: *(NumConst=88, SV=50, CEps=41.7312, QPEps=15.8260)
Iter 142: *(NumConst=89, SV=49, CEps=33.1032, QPEps=15.7537)
Iter 143: *(NumConst=90, SV=48, CEps=49.5933, QPEps=15.1194)
Iter 144: *(NumConst=90, SV=49, CEps=30.8258, QPEps=15.1747)
Iter 145: *(NumConst=89, SV=52, CEps=31.6227, QPEps=14.6272)
Iter 146: *(NumConst=90, SV=52, CEps=21.8812, QPEps=9.8380)
Iter 147: *(NumConst=90, SV=53, CEps=16.4098, QPEps=8.1158)
Iter 148: *(NumConst=90, SV=51, CEps=29.9096, QPEps=8.0926)
Iter 149: *(NumConst=91, SV=52, CEps=25.9784, QPEps=8.0562)
Iter 150: *(NumConst=92, SV=52, CEps=32.4060, QPEps=8.1402)
Iter 151: *(NumConst=93, SV=52, CEps=29.8112, QPEps=8.1663)
Iter 152: *(NumConst=93, SV=53, CEps=24.9956, QPEps=8.1393)
Iter 153: *(NumConst=94, SV=55, CEps=16.4302, QPEps=7.4478)
Iter 154: *(NumConst=95, SV=54, CEps=22.3865, QPEps=7.7488)
Iter 155: *(NumConst=96, SV=57, CEps=26.0100, QPEps=7.8367)
Iter 156: *(NumConst=97, SV=58, CEps=21.8055, QPEps=7.5006)
Iter 157: .........*(NumConst=98, SV=61, CEps=54.8004, QPEps=23.6791)
Iter 158: *(NumConst=99, SV=60, CEps=45.7736, QPEps=21.7400)
Iter 159: *(NumConst=99, SV=56, CEps=42.0691, QPEps=19.4357)
Iter 160: *(NumConst=100, SV=58, CEps=41.1453, QPEps=18.4093)
Iter 161: *(NumConst=101, SV=59, CEps=40.9817, QPEps=19.4558)
Iter 162: *(NumConst=101, SV=62, CEps=39.2782, QPEps=19.2263)
Iter 163: *(NumConst=102, SV=64, CEps=39.0754, QPEps=16.7311)
Iter 164: *(NumConst=103, SV=59, CEps=41.7188, QPEps=19.3671)
Iter 165: *(NumConst=102, SV=57, CEps=41.5122, QPEps=19.0880)
Iter 166: *(NumConst=103, SV=56, CEps=36.5575, QPEps=17.0979)
Iter 167: *(NumConst=104, SV=55, CEps=44.5696, QPEps=17.4256)
Iter 168: *(NumConst=105, SV=57, CEps=39.8013, QPEps=16.5137)
Iter 169: *(NumConst=105, SV=55, CEps=41.4704, QPEps=16.6933)
Iter 170: *(NumConst=106, SV=55, CEps=39.1182, QPEps=17.4683)
Iter 171: *(NumConst=107, SV=55, CEps=36.3913, QPEps=17.4401)
Iter 172: *(NumConst=108, SV=56, CEps=44.5127, QPEps=16.0450)
Iter 173: *(NumConst=106, SV=55, CEps=38.5271, QPEps=17.8200)
Iter 174: *(NumConst=107, SV=59, CEps=23.7044, QPEps=11.5226)
Iter 175: *(NumConst=107, SV=59, CEps=36.7431, QPEps=11.5444)
Iter 176: *(NumConst=106, SV=59, CEps=42.0430, QPEps=11.7086)
